  x y
  1.000000 -0.000000
  0.999011  0.000128
  0.996049  0.000513
  0.991128  0.001157
  0.984270  0.002064
  0.975507  0.003239
  0.964879  0.004686
  0.952432  0.006411
  0.938222  0.008420
  0.922310  0.010719
  0.904765  0.013312
  0.885658  0.016200
  0.865070  0.019384
  0.843084  0.022860
  0.819786  0.026622
  0.795267  0.030660
  0.769623  0.034958
  0.742951  0.039495
  0.715350  0.044246
  0.686923  0.049179
  0.657776  0.054257
  0.628015  0.059438
  0.597750  0.064673
  0.567090  0.069911
  0.536148  0.075095
  0.505038  0.080167
  0.473876  0.085064
  0.442776  0.089726
  0.411703  0.094075
  0.380674  0.097940
  0.349813  0.101136
  0.319254  0.103497
  0.289150  0.104878
  0.259662  0.105165
  0.230965  0.104279
  0.203242  0.102182
  0.176678  0.098879
  0.151460  0.094417
  0.127765  0.088887
  0.105756  0.082418
  0.085579  0.075169
  0.067356  0.067323
  0.051187  0.059077
  0.037143  0.050633
  0.025274  0.042186
  0.015607  0.033921
  0.008149  0.026001
  0.002890  0.018560
 -0.000194  0.011706
 -0.001142  0.005507
  0.000000  0.000000
  0.003115 -0.004681
  0.008080 -0.008429
  0.014823 -0.011301
  0.023267 -0.013373
  0.033336 -0.014736
  0.044949 -0.015496
  0.058030 -0.015765
  0.072507 -0.015658
  0.088316 -0.015290
  0.105404 -0.014769
  0.123731 -0.014199
  0.143267 -0.013672
  0.163993 -0.013269
  0.185898 -0.013060
  0.208973 -0.013099
  0.233208 -0.013425
  0.258584 -0.014057
  0.285071 -0.014995
  0.312621 -0.016214
  0.341170 -0.017663
  0.370636 -0.019268
  0.400916 -0.020930
  0.431891 -0.022526
  0.463334 -0.023926
  0.494962 -0.025075
  0.526642 -0.025966
  0.558243 -0.026594
  0.589632 -0.026952
  0.620674 -0.027038
  0.651241 -0.026852
  0.681201 -0.026396
  0.710430 -0.025677
  0.738803 -0.024706
  0.766204 -0.023499
  0.792518 -0.022077
  0.817638 -0.020467
  0.841464 -0.018699
  0.863898 -0.016809
  0.884855 -0.014837
  0.904252 -0.012825
  0.922018 -0.010819
  0.938085 -0.008865
  0.952395 -0.007008
  0.964898 -0.005294
  0.975549 -0.003764
  0.984313 -0.002456
  0.991159 -0.001402
  0.996065 -0.000630
  0.999016 -0.000158
  1.000000  0.000000
